2020-10-08T03:09:01.437+03:00,@BreakingNews WTF!!! why are we not attacking N.K. before they fire &amp; destroy Hawaii.Did we not LEARN anything from Pearl Harbor! HELLO!,0.0,0.0
2020-10-08T03:10:02.176+03:00,@BreakingTweets I love the &quot;snarky comments&quot;  bit,1.0,1.0
2020-10-08T03:11:01.463+03:00,@breakinporcelan Sweet!,1.0,1.0
2020-10-08T03:12:01.546+03:00,@Breakthruguy - Thanks for the follow &amp; keep running.,1.0,1.0
2020-10-08T03:13:01.449+03:00,@BreakThruGuy Sounds great Paul .... breathe easy and well today ...,1.0,1.0
2020-10-08T03:16:01.702+03:00,@brealmercy aww what happened?,0.0,0.0
2020-10-08T03:18:01.803+03:00,@BreanicPanic  My little cat does that sometimes. I'm getting them fixed July 16. Im kinda nervous. They're my babies,0.0,0.0
2020-10-08T03:19:02.246+03:00,@BreannaBonana well when you say 4 moons in real life its supposed to mean 4 months so that just shows u that there fuckin retards,0.0,1.0
2020-10-08T03:21:02.273+03:00,@breannaheater wish I could talk... Have fun,1.0,1.0
2020-10-08T03:22:02.134+03:00,@breannanardini what are you talking about????,0.0,1.0
2020-10-08T03:23:02.158+03:00,@breannax0 hahaha! thats really funny! im glad my uking made your day better,0.0,1.0
2020-10-08T03:24:01.424+03:00,@breanne19 I can't go. I just feel so yuck.  I don't know what to do.,0.0,0.0
2020-10-08T03:25:01.743+03:00,@breanne19 i know i really wish we were going to boise to see them again.,0.0,0.0
2020-10-08T03:26:02.181+03:00,@breannnna meeee too! I'm supposed to be up in 3 hours,0.0,1.0
2020-10-08T03:28:02.247+03:00,@breastmates I love your store  havne't had anyone round me with a baby for a while. prob good thing. I'd get clucky!,0.0,1.0
2020-10-08T03:29:01.585+03:00,@BreatheBand &lt;33 you guys are awesome!  http://twitgoo.com/o8jp,1.0,1.0
2020-10-08T03:30:01.469+03:00,@BreatheBand ComeTo Australia,1.0,1.0
2020-10-08T03:32:01.706+03:00,@breatheheavycom hugs!!,0.0,1.0
2020-10-08T03:33:01.710+03:00,@breatheheavycom why?,1.0,1.0
2020-10-08T03:34:01.926+03:00,@breatheheavycom you're amazing!!! did that cheer u up? cuz its the truth,1.0,1.0
2020-10-08T03:35:01.757+03:00,@breathein26,1.0,1.0
2020-10-08T03:36:01.806+03:00,@breatheitin - Thanks so much for all the mentions!,1.0,1.0
2020-10-08T03:37:02.288+03:00,@breathejess hey jess,1.0,1.0
2020-10-08T03:38:01.972+03:00,@Breathemusic27 tell me about it! I love colorado.,1.0,1.0
